name,participant 1,participant 2,participant 3,participant 4,participant 5,total,difficulty
ovaries estrogen,0,0,0,0,0,0,advanced
apollo music,0,0,0,0,0,0,advanced
bloodline mystery,0,0,0,0,0,0,advanced
chlorophyll green,0,0,0,0,0,0,advanced
gold malleable,0,0,0,0,0,0,advanced
bronze gear,0,0,0,0,0,0,advanced
barite glass,0,0,0,0,0,0,advanced
whale pod,0,0,0,0,0,0,advanced
antony cleopatra,0,0,0,0,0,0,advanced
stallion mare,0,0,0,0,0,0,advanced
ennui boredom,0,0,0,0,0,0,advanced
kakapo flightless,0,0,0,0,0,0,advanced
bodega wine,0,0,0,0,0,0,advanced
armenia yerevan,0,0,0,0,0,0,advanced
latvia lats,0,0,0,0,0,0,advanced
fiji fijian,0,0,0,0,0,0,advanced
nicaragua spanish,0,0,0,0,0,0,advanced
morocco berber,0,0,0,0,0,0,advanced
victoria africa,0,0,0,0,0,0,advanced
puka philippines,0,0,0,0,0,0,advanced
angiosperms maple,0,0,0,0,0,0,advanced
cinderella jackson,0,0,0,0,0,0,advanced
selfish compassion,0,0,0,0,0,0,advanced
corn husk,0,0,0,0,0,0,advanced
tyro inexperienced,0,0,0,0,0,0,advanced
red green,0,0,1,0,0,1,advanced
egg chick,0,0,0,1,0,1,advanced
dog kennel,0,0,0,1,0,1,advanced
hola spanish,0,1,0,0,0,1,advanced
chicken coop,0,0,0,1,0,1,advanced
tumor cancer,0,0,0,1,0,1,advanced
mobile battery,0,0,1,0,0,1,advanced
cheerleader squad,0,0,0,1,0,1,advanced
doctor orthodontist,0,0,0,1,0,1,advanced
germany euro,0,0,0,1,0,1,advanced
mountain range,0,1,0,0,0,1,advanced
happy content,0,0,1,0,0,1,advanced
wall room,0,0,0,1,0,1,advanced
glass clear,0,1,0,0,0,1,advanced
kilometer meter,0,1,0,0,0,1,advanced
carpenter saw,0,1,0,0,0,1,advanced
cat kitten,1,0,0,0,0,1,advanced
china shanghai,0,0,1,0,0,1,advanced
crack mirror,0,0,1,0,0,1,advanced
elephant ivory,0,0,1,0,0,1,advanced
paper wood,0,0,1,0,0,1,advanced
colonel army,0,1,0,0,0,1,advanced
hen cock,0,1,0,0,0,1,advanced
square cube,0,0,0,1,0,1,advanced
india modi,0,0,0,1,0,1,advanced
adroit adroitly,0,0,0,1,0,1,advanced
zippo lighter,0,1,0,0,0,1,advanced
slay dragon,0,0,0,1,0,1,advanced
physicist einstein,0,0,0,1,0,1,advanced
microsoft gates,0,1,0,0,0,1,advanced
gauck germany,0,1,0,0,0,1,advanced
hatchback cruze,0,0,1,0,0,1,advanced
volta battery,0,0,1,0,1,2,hard
einstein relativity,0,1,1,0,0,2,hard
paris eiffel,0,0,1,1,0,2,hard
water flow,0,1,0,1,0,2,hard
earthquake tsunami,1,0,0,1,0,2,hard
shard glass,0,1,0,1,0,2,hard
silk smooth,0,1,0,0,1,2,hard
cloth detergent,1,0,0,1,0,2,hard
music compose,0,1,1,0,0,2,hard
map atlas,0,0,1,0,1,2,hard
sweater knit,0,1,0,1,0,2,hard
amphibian frog,0,1,0,1,0,2,hard
car auto,0,0,1,1,0,2,hard
bad terrible,0,0,1,0,1,2,hard
rain umbrella,0,1,1,0,0,2,hard
goat milk,0,1,1,0,0,2,hard
bird wings,0,0,1,0,1,2,hard
stethoscope doctor,1,0,1,0,0,2,hard
keyboard finger,0,1,0,1,0,2,hard
fireplace fire,0,1,0,0,1,2,hard
lamp light,0,1,0,1,0,2,hard
love hate,0,1,0,1,0,2,hard
joke laughter,0,1,0,1,0,2,hard
pinch pain,0,0,1,1,0,2,hard
tennis racket,0,0,0,1,1,2,hard
tailor cloth,0,1,0,1,0,2,hard
hair comb,0,1,0,0,1,2,hard
drawer handle,0,1,0,1,0,2,hard
needle sew,0,1,0,1,0,2,hard
hand finger,0,1,0,1,0,2,hard
saturn titan,0,1,0,1,0,2,hard
stomach digest,0,1,0,1,0,2,hard
summer plums,0,1,0,1,0,2,hard
mosquito repellant,0,1,0,1,0,2,hard
summer cucumber,0,1,0,1,0,2,hard
spiderman raimi,0,1,1,0,0,2,hard
dim light,0,0,1,1,1,3,medium
lemon sour,1,1,0,0,1,3,medium
china chinese,0,1,1,0,1,3,medium
lifejacket boat,1,0,0,1,1,3,medium
eye see,0,1,1,0,1,3,medium
bed sleep,0,0,1,1,1,3,medium
fish swim,0,1,1,0,1,3,medium
school teacher,0,1,1,0,1,3,medium
keyboard type,1,0,1,1,0,3,medium
london england,0,1,1,0,1,3,medium
teacher teach,0,0,1,1,1,3,medium
fire hot,0,0,1,1,1,3,medium
engineer program,0,1,1,1,0,3,medium
kitchen utensils,0,1,1,1,0,3,medium
cup coffee,0,1,0,1,1,3,medium
painter painting,0,1,0,1,1,3,medium
cat meow,0,1,0,1,1,3,medium
leg crutch,0,1,0,1,1,3,medium
head helmet,0,1,0,1,1,3,medium
north up,0,1,1,1,1,4,medium
flowers vase,1,1,1,0,1,4,medium
neck scarf,1,1,0,1,1,4,medium
stairs ladder,1,0,1,1,1,4,medium
policeman policewoman,1,1,0,1,1,4,medium
window curtain,0,1,1,1,1,4,medium
exercise gym,0,1,1,1,1,4,medium
penny 1,1,1,1,0,1,4,medium
music listen,1,1,1,0,1,4,medium
jeans zipper,0,1,1,1,1,4,medium
closet clothes,0,1,1,1,1,4,medium
library books,1,1,1,1,1,5,easy
floor building,1,1,1,1,1,5,easy
mountains cool,1,1,1,1,1,5,easy
easy easier,1,1,1,1,1,5,easy
wise wiser,1,1,1,1,1,5,easy
lick taste,1,1,1,1,1,5,easy
letter word,1,1,1,1,1,5,easy
saw cut,1,1,1,1,1,5,easy
pencil write,1,1,1,1,1,5,easy
clock time,1,1,1,1,1,5,easy
pilot fly,1,1,1,1,1,5,easy
chimney smoke,1,1,1,1,1,5,easy
wool sheep,1,1,1,1,1,5,easy
india delhi,1,1,1,1,1,5,easy
england english,1,1,1,1,1,5,easy
angry angrily,1,1,1,1,1,5,easy
day week,1,1,1,1,1,5,easy
good bad,1,1,1,1,1,5,easy
camera photograph,1,1,1,1,1,5,easy
row boat,1,1,1,1,1,5,easy
whale ocean,1,1,1,1,1,5,easy
pentagon five,1,1,1,1,1,5,easy
chair wood,1,1,1,1,1,5,easy
car road,1,1,1,1,1,5,easy
city state,1,1,1,1,1,5,easy
tired sleep,1,1,1,1,1,5,easy
apple red,1,1,1,1,1,5,easy
